Date,MyWay,Paper Ticket,Total
12/12/2019,14617,603,15220
21/01/2020,13456,585,14041
18/06/2019,14820,342,15162
23/11/2019,7310,2296,9606
15/10/2019,16080,526,16606
23/04/2019,8134,1018,9152
19/06/2019,14806,350,15156
07/01/2020,9859,432,10291
06/08/2019,15916,370,16286
05/07/2019,13189,565,13754
16/05/2019,17802,216,18018
04/10/2019,14342,965,15307
25/08/2019,5109,419,5528
03/08/2019,7891,771,8662
18/05/2019,10870,598,11468
24/06/2019,13562,298,13860
11/06/2019,14596,304,14900
20/12/2019,12091,718,12809
12/10/2019,7271,782,8053
09/10/2019,14697,783,15480
03/01/2020,7607,1873,9480
19/11/2019,15138,474,15612
16/11/2019,7477,850,8327
21/09/2019,6320,669,6989
02/07/2019,13822,402,14224
04/05/2019,12025,632,12657
03/06/2019,13762,307,14069
10/07/2019,12690,600,13290
12/01/2020,3828,295,4123
10/08/2019,6174,543,6717
23/07/2019,15715,351,16066
17/02/2020,15460,484,15944
22/11/2019,14962,867,15829
20/09/2019,17758,882,18640
07/10/2019,5570,621,6191
17/12/2019,13619,501,14120
02/12/2019,13700,533,14233
19/07/2019,13545,815,14360
02/11/2019,7281,682,7963
08/09/2019,5585,411,5996
27/07/2019,7284,732,8016
08/12/2019,5530,479,6009
14/09/2019,8221,920,9141
26/12/2019,5291,717,6008
08/10/2019,13234,604,13838
13/12/2019,15085,960,16045
22/05/2019,18252,238,18490
26/05/2019,9361,478,9839
03/02/2020,13768,548,14316
31/08/2019,7728,647,8375
19/09/2019,15997,573,16570
17/09/2019,14955,407,15362
15/05/2019,18217,200,18417
29/11/2019,15425,822,16247
06/01/2020,8602,426,9028
12/08/2019,14560,341,14901
27/10/2019,5737,469,6206
06/05/2019,16885,216,17101
24/11/2019,4911,439,5350
10/10/2019,14668,733,15401
12/05/2019,8062,427,8489
18/09/2019,16044,469,16513
09/11/2019,7242,762,8004
08/01/2020,10620,411,11031
27/11/2019,14857,468,15325
22/08/2019,15842,412,16254
01/02/2020,5121,479,5600
23/06/2019,4784,374,5158
05/11/2019,15673,527,16200
18/01/2020,5686,613,6299
20/01/2020,11884,488,12372
14/07/2019,4012,404,4416
24/01/2020,12793,741,13534
28/08/2019,15466,421,15887
29/08/2019,15551,435,15986
06/09/2020,3245,155,3400
07/12/2019,8033,975,9008
30/01/2020,13252,650,13902
29/01/2020,12828,458,13286
08/08/2019,14768,398,15166
24/04/2019,9518,1147,10665
30/05/2019,15170,271,15441
13/02/2020,15087,498,15585
01/09/2019,5390,452,5842
10/12/2019,14321,510,14831
17/07/2019,13145,708,13853
26/09/2019,15266,546,15812
26/10/2019,7475,823,8298
28/05/2019,14916,251,15167
27/12/2019,5626,648,6274
13/06/2019,14135,340,14475
03/10/2019,15218,915,16133
29/06/2019,7118,715,7833
20/11/2019,14863,502,15365
17/10/2019,15606,502,16108
15/07/2019,12099,644,12743
17/06/2019,14546,315,14861
08/02/2020,6652,632,7284
02/02/2020,4415,319,4734
05/08/2019,15164,374,15538
16/01/2020,11701,522,12223
01/07/2019,12931,344,13275
25/09/2019,16324,496,16820
11/07/2019,12011,466,12477
05/02/2020,15341,533,15874
06/02/2020,15314,441,15755
29/10/2019,15511,416,15927
03/05/2019,16274,314,16588
22/01/2020,13104,577,13681
11/02/2020,15675,476,16151
23/01/2020,12484,530,13014
11/08/2019,4592,318,4910
28/12/2019,4566,594,5160
17/05/2019,18936,382,19318
09/09/2019,14016,367,14383
04/01/2020,4079,1709,5788
24/08/2019,7199,686,7885
14/08/2019,15327,398,15725
31/01/2020,12024,584,12608
24/05/2019,18805,339,19144
26/07/2019,15438,504,15942
23/08/2019,15762,572,16334
07/08/2019,15475,402,15877
04/02/2020,14974,488,15462
30/08/2019,15519,568,16087
15/06/2019,6958,579,7537
13/07/2019,5853,610,6463
23/12/2019,9200,536,9736
14/12/2019,7006,759,7765
21/07/2019,5533,501,6034
26/06/2019,14333,300,14633
30/06/2019,5195,465,5660
25/06/2019,13943,408,14351
07/05/2019,17826,193,18019
10/01/2020,11025,649,11674
12/06/2019,14904,277,15181
30/11/2019,6660,735,7395
06/12/2019,15370,828,16198
07/06/2019,14990,414,15404
17/08/2019,7278,723,8001
14/10/2019,15070,470,15540
15/08/2019,15735,375,16110
27/08/2019,15461,343,15804
02/09/2019,14183,432,14615
04/12/2019,14856,542,15398
30/07/2019,16123,321,16444
06/09/2019,14102,505,14607
16/07/2019,13003,733,13736
10/05/2019,15971,263,16234
11/01/2020,5285,546,5831
07/02/2020,15543,602,16145
24/12/2019,7199,501,7700
13/10/2019,5693,429,6122
14/05/2019,17948,219,18167
04/09/2019,14547,347,14894
26/11/2019,14560,450,15010
31/10/2019,15577,507,16084
31/07/2019,15796,479,16275
24/09/2019,16172,532,16704
25/10/2019,15607,598,16205
20/07/2019,7305,840,8145
31/05/2019,15300,382,15682
27/09/2019,16388,835,17223
27/06/2019,13325,413,13738
22/07/2019,14910,384,15294
02/06/2019,5622,413,6035
09/07/2019,13224,579,13803
16/09/2019,14900,467,15367
12/09/2019,14914,377,15291
08/06/2019,6943,817,7760
02/10/2019,15303,774,16077
28/10/2019,14856,384,15240
21/06/2019,14902,488,15390
01/12/2019,5058,369,5427
29/12/2019,3981,446,4427
05/05/2019,8880,529,9409
21/05/2019,17766,202,17968
28/06/2019,13319,455,13774
02/08/2019,15888,503,16391
25/01/2020,5853,832,6685
16/06/2019,4891,436,5327
22/06/2019,6990,620,7610
22/12/2019,4479,455,4934
10/02/2020,13970,448,14418
11/11/2019,14645,519,15164
16/10/2019,15737,480,16217
21/08/2019,15521,387,15908
20/08/2019,15638,342,15980
14/01/2020,12320,522,12842
20/04/2020,2313,75,2388
21/04/2020,2256,83,2339
05/09/2020,4485,298,4783
03/09/2020,7884,203,8087
23/04/2020,2483,88,2571
22/04/2020,2457,81,2538
24/04/2020,2585,89,2674
25/04/2020,1274,55,1329
26/04/2020,1088,43,1131
27/04/2020,1222,39,1261
04/09/2020,8550,301,8851
28/04/2020,2660,80,2740
29/04/2020,2190,56,2246
30/04/2020,2361,79,2440
01/05/2020,2393,82,2475
02/05/2020,1510,59,1569
03/05/2020,1412,65,1477
04/05/2020,2798,75,2873
05/05/2020,2719,88,2807
07/05/2020,3018,89,3107
06/05/2020,2938,86,3024
09/05/2020,1762,98,1860
08/05/2020,3223,116,3339
10/05/2020,1565,70,1635
11/05/2020,3000,113,3113
12/05/2020,3178,107,3285
13/05/2020,3166,98,3264
14/05/2020,3316,108,3424
16/05/2020,2297,99,2396
15/05/2020,3649,117,3766
17/05/2020,1894,107,2001
19/05/2020,4216,123,4339
18/05/2020,3775,107,3882
20/05/2020,3950,114,4064
22/05/2020,4236,122,4358
23/05/2020,2232,137,2369
21/05/2020,4259,104,4363
24/05/2020,2150,110,2260
25/05/2020,4802,146,4948
26/05/2020,5083,132,5215
27/05/2020,5072,130,5202
30/05/2020,3099,200,3299
28/05/2020,4984,127,5111
29/05/2020,5425,158,5583
01/06/2020,2075,106,2181
08/11/2019,14956,530,15486
31/05/2020,2350,150,2500
02/06/2020,5857,153,6010
03/06/2020,6002,159,6161
04/06/2020,6044,192,6236
05/06/2020,6548,229,6777
06/06/2020,3288,279,3567
07/06/2020,2492,181,2673
09/06/2020,6186,194,6380
08/06/2020,2440,172,2612
10/06/2020,6257,169,6426
11/06/2020,6301,204,6505
13/06/2020,3480,248,3728
14/06/2020,2589,135,2724
12/06/2020,6632,263,6895
16/06/2020,6556,175,6731
17/06/2020,6621,218,6839
15/06/2020,6282,198,6480
19/06/2020,7581,296,7877
18/06/2020,6896,222,7118
22/06/2020,6575,209,6784
21/06/2020,2733,161,2894
20/06/2020,3538,343,3881
23/06/2020,6835,229,7064
24/06/2020,7293,274,7567
26/06/2020,7688,341,8029
28/06/2020,3330,180,3510
27/06/2020,4253,331,4584
25/06/2020,7511,226,7737
29/06/2020,6706,236,6942
04/07/2020,4139,315,4454
05/07/2020,3200,222,3422
02/07/2020,7134,264,7398
06/07/2020,6400,279,6679
03/07/2020,7728,373,8101
30/06/2020,7195,230,7425
01/07/2020,7551,239,7790
07/07/2020,6691,296,6987
08/07/2020,6626,278,6904
12/07/2020,2736,207,2943
11/07/2020,3389,331,3720
09/07/2020,6402,338,6740
10/07/2020,6547,367,6914
13/07/2020,5705,234,5939
15/07/2020,6679,282,6961
14/07/2020,6516,288,6804
16/07/2020,6503,297,6800
17/07/2020,6715,422,7137
19/07/2020,2984,188,3172
08/09/2020,8124,243,8367
18/07/2020,4110,340,4450
09/09/2020,7862,200,8062
07/09/2020,7605,190,7795
13/09/2020,2992,142,3134
21/07/2020,7497,239,7736
23/07/2020,7435,203,7638
24/07/2020,7975,309,8284
26/07/2020,2357,108,2465
22/07/2020,7273,211,7484
25/07/2020,4311,343,4654
10/09/2020,8287,245,8532
27/07/2020,6407,161,6568
29/07/2020,7921,230,8151
31/07/2020,8250,361,8611
28/07/2020,7684,186,7870
01/08/2020,4268,288,4556
02/08/2020,3004,160,3164
30/07/2020,7857,204,8061
03/08/2020,7210,162,7372
04/08/2020,7483,215,7698
05/08/2020,7440,181,7621
06/08/2020,7753,212,7965
07/08/2020,6707,209,6916
09/08/2020,2346,116,2462
12/09/2020,4242,344,4586
08/08/2020,3047,180,3227
10/08/2020,7454,193,7647
11/09/2020,8690,323,9013
11/08/2020,7592,187,7779
18/08/2020,7757,175,7932
14/08/2020,8092,301,8393
15/08/2020,3810,258,4068
17/08/2020,7409,175,7584
12/08/2020,7436,173,7609
16/08/2020,3112,188,3300
13/08/2020,7746,212,7958
22/08/2020,3351,231,3582
20/08/2020,7625,240,7865
23/08/2020,2893,140,3033
21/08/2020,7237,221,7458
19/08/2020,6798,162,6960
24/08/2020,7516,196,7712
25/08/2020,7952,185,8137
27/08/2020,8099,215,8314
28/08/2020,8572,278,8850
29/08/2020,4342,393,4735
30/08/2020,3207,162,3369
26/08/2020,7819,181,8000
31/08/2020,7540,220,7760
01/09/2020,7984,227,8211
02/09/2020,8075,229,8304
06/07/2019,6682,772,7454
14/11/2019,15643,442,16085
28/09/2019,7794,961,8755
04/07/2019,13675,342,14017
21/10/2019,15095,407,15502
28/04/2019,6023,2243,8266
10/06/2019,4276,386,4662
01/05/2019,17248,239,17487
13/08/2019,15798,373,16171
19/05/2019,8241,438,8679
28/11/2019,15181,521,15702
08/05/2019,16945,183,17128
01/11/2019,15975,590,16565
04/06/2019,14223,286,14509
18/07/2019,13433,757,14190
20/05/2019,16980,185,17165
03/09/2019,14524,366,14890
13/11/2019,15468,470,15938
06/10/2019,5884,812,6696
21/11/2019,14267,495,14762
08/07/2019,11943,493,12436
02/05/2019,16647,245,16892
09/02/2020,4152,291,4443
19/10/2019,6829,615,7444
25/04/2019,4866,1313,6179
17/01/2020,12523,704,13227
15/01/2020,11850,528,12378
30/09/2019,14353,677,15030
13/01/2020,11606,427,12033
16/08/2019,15793,501,16294
06/06/2019,14410,286,14696
11/10/2019,14476,857,15333
05/06/2019,14168,302,14470
30/10/2019,15031,433,15464
10/11/2019,5292,385,5677
23/10/2019,16042,453,16495
23/09/2019,15079,389,15468
10/09/2019,14826,460,15286
12/02/2020,15654,479,16133
03/11/2019,4356,324,4680
05/01/2020,2267,445,2712
15/11/2019,15656,627,16283
15/09/2019,5794,522,6316
27/05/2019,5192,362,5554
24/10/2019,15947,458,16405
05/10/2019,7397,1002,8399
11/12/2019,14725,555,15280
27/04/2019,7124,1320,8444
01/06/2019,7349,602,7951
04/08/2019,5328,430,5758
09/08/2019,13468,409,13877
01/01/2020,2402,391,2793
30/12/2019,5182,457,5639
29/09/2019,5934,595,6529
18/08/2019,5051,379,5430
26/08/2019,14859,404,15263
07/07/2019,4891,480,5371
19/12/2019,12952,621,13573
19/01/2020,4526,397,4923
27/01/2020,3875,343,4218
30/04/2019,16549,274,16823
14/02/2020,15955,764,16719
25/07/2019,15639,426,16065
02/01/2020,7063,985,8048
26/04/2019,9074,1143,10217
21/12/2020,8081,374,8455
19/12/2020,5314,426,5740
22/12/2020,8228,402,8630
23/12/2020,7794,432,8226
24/12/2020,6272,315,6587
26/12/2020,4187,363,4550
27/12/2020,3471,249,3720
28/12/2020,3584,320,3904
29/12/2020,4811,361,5172
25/12/2020,512,10,522
30/12/2020,4872,386,5258
01/01/2021,2784,283,3067
02/01/2021,3988,354,4342
03/01/2021,2855,194,3049
31/12/2020,5471,728,6199
04/01/2021,6679,312,6991
05/01/2021,7590,384,7974
07/01/2021,7670,307,7977
06/01/2021,7363,310,7673
08/01/2021,7926,427,8353
09/01/2021,4647,391,5038
10/01/2021,2498,143,2641
11/01/2021,6153,167,6320
12/01/2021,6220,254,6474
13/01/2021,6304,219,6523
14/01/2021,6344,226,6570
